證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"3504","揚明光","","76,000","4,363,000","4,367,900",
"3515","華擎","","159,000","45,780,000","45,814,000",
"3518","柏騰","","38,000","786,050","788,350",
"3528","安馳","","75,000","5,634,600","5,638,900",
"3530","晶相光","","16,000","973,100","973,900",
"3532","台勝科","","422,000","42,519,000","42,558,000",
"3533","嘉澤","","307,000","426,980,000","429,260,000",
"3535","晶彩科","","1,364,000","102,540,000","102,923,700",
"3543","州巧","","1,471,000","56,404,600","57,102,950",
"3545","敦泰","","585,000","35,969,800","35,979,600",
"3550","聯穎","","21,000","297,950","298,250",
"3557","嘉威","","27,000","1,026,500","1,036,650",
"3563","牧德","","733,000","397,358,000","398,966,000",
"3583","辛耘","","479,000","178,886,000","178,824,000",
"3588","通嘉","","40,000","1,968,500","1,966,850",
"3591","艾笛森","","31,000","551,400","550,600",
"3592","瑞鼎","","160,000","40,814,000","40,819,000",
"3596","智易","","112,000","23,686,500","23,745,000",
"3605","宏致","","498,000","34,099,000","34,162,900",
"3607","谷崧","","7,000","93,300","93,450",
"3617","碩天","","64,000","15,244,000","15,220,000",
"3622","洋華","","30,000","1,648,400","1,648,200",
"3645","達邁","","463,000","28,152,500","28,180,400",
"3652","精聯","","0","0","0",
"3653","健策","","885,000","2,008,985,000","2,009,300,000",
"3661","世芯-KY","","972,000","2,993,360,000","3,004,545,000",
"3665","貿聯-KY","","2,587,000","3,290,390,000","3,305,520,000",
"3669","圓展","","6,000","178,050","179,400",
"3673","TPK-KY","","183,000","6,766,400","6,760,450",
"3679","新至陞","","7,000","841,500","845,500",
"3694","海華","","326,000","23,607,000","23,643,000",
"3701","大眾控","","65,000","2,393,700","2,396,900",
"3702","大聯大","","1,342,000","83,401,100","84,649,900",
"3703","欣陸","","113,000","2,416,100","2,421,700",
"3704","合勤控","","16,000","570,400","572,000",
"3705","永信","","43,000","2,449,800","2,447,700",
"3706","神達","","12,989,000","1,203,241,300","1,203,484,400",
"3708","上緯投控","","694,000","78,003,000","78,122,000",
"3711","日月光投控","","14,124,000","2,766,680,500","2,774,213,500",
"3712","永崴投控","","516,000","19,980,550","19,993,850",
"3714","富采","","292,000","10,601,200","10,600,650",
"3715","定穎投控","","6,011,000","571,674,600","572,022,500",
"3716","中化控股","","2,000","67,000","66,750",
"3717","聯嘉投控","","36,000","721,050","719,650",
"4104","佳醫","","12,000","1,017,800","1,018,700",
"4106","雃博","","1,000","21,450","21,600",
"4119","旭富","","26,000","1,532,200","1,542,600",
"4133","亞諾法","","0","0","0",
"4137","麗豐-KY","","14,000","1,424,500","1,427,000",
"4142","國光生","","110,000","1,963,300","1,965,350",
"4148","全宇生技-KY","","3,000","121,350","121,300",
"4155","訊映","","50,000","725,100","719,150",
"4164","承業醫","","114,000","5,069,900","5,090,650",
"4190","佐登-KY","","4,000","134,950","134,850",
"4306","炎洲","","283,000","3,916,900","3,908,450",
"4414","如興","","8,000","86,800","87,850",
"4426","利勤","","16,000","162,350","164,300",
"4438","廣越","","9,000","596,700","597,500",
"4439","冠星-KY","","1,000","89,900","89,800",
"4440","宜新實業","","168,000","3,697,050","3,694,900",
"4526","東台","","588,000","19,268,350","19,352,400",
"4532","瑞智","","139,000","3,359,150","3,360,650",
"4536","拓凱","","26,000","4,839,500","4,849,500",
"4540","全球傳動","","121,000","4,888,100","4,862,400",
"4545","銘鈺","","6,000","194,200","194,400",
"4551","智伸科","","236,000","35,560,000","35,624,000",
"4552","力達-KY","","1,000","22,700","22,750",
"4555","氣立","","127,000","5,682,250","5,692,550",
"4557","永新-KY","","31,000","2,133,200","2,158,400",
"4560","強信-KY","","52,000","1,649,150","1,650,150",
"4562","穎漢","","63,000","2,613,550","2,615,150",
"4564","元翎","","233,000","4,432,000","4,419,050",
"4566","時碩工業","","177,000","10,034,300","10,067,000",
"4569","六方科-KY","","81,000","13,157,500","13,136,500",
"4571","鈞興-KY","","52,000","8,427,000","8,443,500",
"4572","駐龍","","6,000","1,001,500","999,500",
"4576","大銀微系統","","83,000","8,989,000","9,004,500",
"4581","光隆精密-KY","","2,000","105,100","105,300",
